NATIONAL DATA BANK VERSION 8.2,,,,,,,,12/06/2022,,,,,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,, , ,,,,,,,,,
Jan 2022,,,,,,,Data is Subject to Revision.  The data reflected is the latest available data.,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance,,,,
3713502 NC EBT ORANGE,652,,"11,848",,"12,500",,298,,"6,431",,"6,729",,"3,209,082",,,,
3713701 NC EBT PAMLICO,137,,"1,817",,"1,954",,65,,993,,"1,058",,"503,374",,,,
3713902 NC EBT PASQUOTANK CO DSS,"1,063",,"7,406",,"8,469",,428,,"3,852",,"4,280",,"2,155,534",,,,
3714103 NC EBT PENDER,670,,"7,953",,"8,623",,286,,"3,951",,"4,237",,"2,170,311",,,,
3714302 NC EBT PERQUIMANS CO DSS,341,,"2,213",,"2,554",,142,,"1,168",,"1,310",,"633,345",,,,
3714502 NC EBT PERSON CO DSS,688,,"6,855",,"7,543",,305,,"3,617",,"3,922",,"1,901,916",,,,
3714701 NC EBT PITT CO DSS,"2,518",,"38,039",,"40,557",,"1,071",,"19,892",,"20,963",,"10,565,738",,,,
3714902 NC EBT POLK,254,,"2,114",,"2,368",,103,,"1,051",,"1,154",,"619,045",,,,
3715102 NC EBT RANDOLPH,"1,827",,"24,037",,"25,864",,696,,"11,534",,"12,230",,"6,532,514",,,,
3715302 NC EBT RICHMOND CO DSS,"1,544",,"13,809",,"15,353",,630,,"7,394",,"8,024",,"3,894,436",,,,
3715503 NC EBT ROBESON,"3,986",,"42,509",,"46,495",,"1,585",,"21,992",,"23,577",,"11,844,639",,,,
3715702 NC EBT ROCKINGHAM CO DSS,"1,219",,"17,437",,"18,656",,532,,"9,061",,"9,593",,"4,685,677",,,,
3715904 NC EBT ROWAN,"1,635",,"24,040",,"25,675",,676,,"11,712",,"12,388",,"6,544,581",,,,
3716102 NC EBT RUTHERFORD,"1,493",,"12,854",,"14,347",,616,,"6,743",,"7,359",,"3,636,870",,,,
3716302 NC EBT SAMPSON,"1,296",,"12,351",,"13,647",,523,,"6,198",,"6,721",,"3,402,197",,,,
3716502 NC EBT SCOTLAND CO DSS,"1,053",,"10,843",,"11,896",,406,,"5,510",,"5,916",,"3,015,821",,,,
3716701 NC EBT STANLY,605,,"9,977",,"10,582",,254,,"4,967",,"5,221",,"2,705,811",,,,
3716902 NC EBT STOKES,438,,"6,398",,"6,836",,178,,"3,271",,"3,449",,"1,703,654",,,,
3717102 NC EBT SURRY,"1,229",,"11,997",,"13,226",,505,,"6,268",,"6,773",,"3,284,470",,,,
3717302 NC EBT SWAIN,169,,"2,411",,"2,580",,72,,"1,206",,"1,278",,"633,352",,,,
3717502 NC EBT TRANSYLVANIA,404,,"3,940",,"4,344",,154,,"1,951",,"2,105",,"1,088,843",,,,
3717702 NC EBT TYRRELL CO DSS-OW,101,,658,,759,,45,,386,,431,,"195,316",,,,
3717901 NC EBT UNION,"1,655",,"20,627",,"22,282",,647,,"9,683",,"10,330",,"5,571,039",,,,
3718101 NC EBT VANCE CO DSS,"1,199",,"13,976",,"15,175",,492,,"7,131",,"7,623",,"3,771,024",,,,
3718304 NC EBT WAKE,"5,853",,"101,089",,"106,942",,"2,353",,"50,082",,"52,435",,"26,878,374",,,,
3718503 NC EBT WARREN CO DSS,436,,"4,217",,"4,653",,185,,"2,342",,"2,527",,"1,233,766",,,,
3718701 NC EBT WASHINGTON CO DSS,349,,"2,990",,"3,339",,156,,"1,632",,"1,788",,"833,473",,,,
3718901 NC EBT WATAUGA,228,,"2,611",,"2,839",,106,,"1,518",,"1,624",,"709,348",,,,
3719102 NC EBT WAYNE,"1,961",,"25,422",,"27,383",,775,,"12,684",,"13,459",,"6,875,026",,,,
3719302 NC EBT WILKES,"1,443",,"11,436",,"12,879",,613,,"5,978",,"6,591",,"3,217,781",,,,
3719501 NC EBT WILSON,"1,354",,"17,130",,"18,484",,578,,"9,017",,"9,595",,"4,708,056",,,,
3719704 NC EBT YADKIN,377,,"4,944",,"5,321",,148,,"2,422",,"2,570",,"1,326,604",,,,
3719902 NC EBT YANCEY,305,,"2,911",,"3,216",,143,,"1,605",,"1,748",,"823,698",,,,
3800101 ND EBT ADAMS CO WB,153,,0,,153,,79,,0,,79,,"23,849",,,,
3800301 ND EBT BARNES CO WB,656,,0,,656,,354,,0,,354,,"98,709",,,,
3800501 ND EBT BENSON CO WB,"1,643",,14,,"1,657",,587,,6,,593,,"302,274",,,,
3800901 ND EBT BOTTINEAU CO WB,496,,0,,496,,254,,0,,254,,"79,177",,,,
3801101 ND EBT BOWMAN-SLOPE CO DPW,181,,0,,181,,105,,0,,105,,"26,710",,,,
3801301 ND EBT BURKE CO WB,61,,0,,61,,30,,0,,30,,"9,341",,,,
3801501 ND EBT BURLEIGH CO WB,"4,237",,7,,"4,244",,"2,389",,2,,"2,391",,"724,546",,,,
3801701 ND EBT CASS CO WELFARE BOARD,"10,226",,3,,"10,229",,"5,123",,  ,,"5,123",,"1,645,236",,,,
3801901 ND EBT CAVALIER CO WB,138,,0,,138,,70,,0,,70,,"21,401",,,,
3802101 ND EBT DICKEY CO WB,241,,0,,241,,121,,0,,121,,"36,775",,,,
3802301 ND EBT DIVIDE CO WB,88,,0,,88,,42,,0,,42,,"12,719",,,,
3802501 ND EBT DUNN CO WB,187,,0,,187,,80,,0,,80,,"32,110",,,,
3802701 ND EBT EDDY CO WB,171,,0,,171,,84,,0,,84,,"26,461",,,,
3802901 ND EBT EMMONS CO WB,194,,0,,194,,105,,0,,105,,"29,634",,,,
3803101 ND EBT FOSTER CO WB,190,,0,,190,,105,,0,,105,,"30,306",,,,
3803301 ND EBT GOLD VAL BLLNGS CO SSB,125,,0,,125,,62,,0,,62,,"18,762",,,,
3803501 ND EBT GRAND FORKS CO WB,"4,478",,12,,"4,490",,"2,329",,6,,"2,335",,"749,882",,,,
3803701 ND EBT GRANT CO WB,153,,0,,153,,74,,0,,74,,"25,665",,,,
3803901 ND EBT GRIGGS CO WB,149,,0,,149,,72,,0,,72,,"22,919",,,,
3804101 ND EBT HETTINGER CO WB,151,,0,,151,,70,,0,,70,,"23,221",,,,
3804301 ND EBT KIDDER CO WB,114,,0,,114,,58,,0,,58,,"16,318",,,,
3804501 ND EBT LAMOURE CO WB,105,,0,,105,,59,,0,,59,,"16,476",,,,
3804701 ND EBT LOGAN CO WB,81,,0,,81,,37,,0,,37,,"12,603",,,,
3804901 ND EBT MCHENRY CO WB,351,,0,,351,,187,,0,,187,,"55,017",,,,
3805101 ND EBT MCINTOSH CO WB,163,,0,,163,,83,,0,,83,,"23,109",,,,
3805301 ND EBT MCKENZIE CO WB,509,,0,,509,,195,,0,,195,,"80,904",,,,
3805501 ND EBT MCLEAN CO WB,354,,0,,354,,194,,0,,194,,"56,000",,,,
3805701 ND EBT MERCER CO WB,278,,0,,278,,129,,0,,129,,"41,643",,,,
3805901 ND EBT MORTON CO WB,"2,137",,5,,"2,142",,"1,015",,1,,"1,016",,"347,968",,,,
3806101 ND EBT MOUNTRAIL CO WB,465,,0,,465,,167,,0,,167,,"75,540",,,,
3806301 ND EBT NELSON CO WB,175,,0,,175,,88,,0,,88,,"25,072",,,,
3806501 ND EBT OLIVER CO WB,68,,0,,68,,32,,0,,32,,"10,212",,,,
3806701 ND EBT PEMBINA CO WB,311,,0,,311,,163,,0,,163,,"44,106",,,,
3806901 ND EBT PIERCE CO WB,247,,0,,247,,127,,0,,127,,"38,608",,,,
3807101 ND EBT RAMSEY CO WB,"1,086",,1,,"1,087",,547,,1,,548,,"174,383",,,,
3807301 ND EBT RANSOM CO WB,253,,0,,253,,128,,0,,128,,"36,395",,,,
3807501 ND EBT RENVILLE CO WB,58,,0,,58,,37,,0,,37,,"9,815",,,,
3807701 ND EBT RICHLAND CO WB,994,,8,,"1,002",,487,,2,,489,,"151,484",,,,
3807901 ND EBT Rolette Co WB,"3,849",,0,,"3,849",,"1,796",,0,,"1,796",,"695,264",,,,
3808101 ND EBT SARGENT CO WB,170,,0,,170,,84,,0,,84,,"25,550",,,,
3808301 ND EBT SHERIDAN CO WB,83,,0,,83,,45,,0,,45,,"11,081",,,,
3808501 ND EBT SIOUX CO WB,"1,247",,3,,"1,250",,427,,1,,428,,"227,124",,,,
3808901 ND EBT STARK CO WB,"1,954",,3,,"1,957",,"1,045",,1,,"1,046",,"331,956",,,,
3809101 ND EBT STEELE CO WB,99,,0,,99,,41,,0,,41,,"15,406",,,,
3809301 ND EBT STUTSMAN CO WB,"1,277",,0,,"1,277",,800,,0,,800,,"205,172",,,,
3809501 ND EBT TOWNER CO WB,120,,0,,120,,61,,0,,61,,"18,311",,,,
3809701 ND EBT TRAILL CO WB,391,,0,,391,,192,,0,,192,,"58,292",,,,
3809901 ND EBT WALSH CO WB,765,,5,,770,,334,,2,,336,,"115,521",,,,
3810101 ND EBT WARD CO WB,"4,638",,3,,"4,641",,"2,364",,1,,"2,365",,"735,126",,,,
3810301 ND EBT WELLS CO WB,314,,0,,314,,161,,0,,161,,"44,945",,,,
3810501 ND EBT WILLIAMS CO WB,"1,373",,6,,"1,379",,668,,2,,670,,"226,424",,,,
3900102 OH EBT ADAMS CO DHS,751,,"4,831",,"5,582",,607,,"2,003",,"2,610",,"1,338,374",,,,
3900301 OH EBT ALLEN CO DHS,"1,687",,"11,606",,"13,293",,"1,470",,"4,937",,"6,407",,"3,233,276",,,,
3900505 OH EBT ASHLAND CO DHS,358,,"3,572",,"3,930",,336,,"1,661",,"1,997",,"956,958",,,,
3900707 OH EBT ASHTABULA CO DPW,"1,941",,"15,681",,"17,622",,"1,670",,"7,527",,"9,197",,"4,440,848",,,,
3900901 OH EBT ATHENS CO DHS,"1,705",,"7,249",,"8,954",,"1,418",,"3,584",,"5,002",,"2,237,511",,,,
3901103 OH EBT AUGLAIZE CO DHS,222,,"2,631",,"2,853",,199,,"1,146",,"1,345",,"677,891",,,,
3901303 OH EBT BELMONT CO.,"1,113",,"7,349",,"8,462",,989,,"3,317",,"4,306",,"2,066,648",,,,
3901504 OH EBT BROWN CO DHS,580,,"5,484",,"6,064",,522,,"2,422",,"2,944",,"1,460,022",,,,
3901703 OH EBT BUTLER CO DHS,"4,333",,"35,986",,"40,319",,"3,555",,"15,211",,"18,766",,"9,825,797",,,,
3901903 OH EBT CARROLL CO DHS,323,,"2,534",,"2,857",,280,,"1,106",,"1,386",,"682,103",,,,
3902102 OH EBT CHAMPAIGN CO DHS,337,,"3,584",,"3,921",,312,,"1,597",,"1,909",,"947,492",,,,
3902302 OH EBT CLARK CO DPW,"2,592",,"20,040",,"22,632",,"2,240",,"8,928",,"11,168",,"5,662,716",,,,
3902502 OH EBT CLERMONT CO. DHS,"1,481",,"12,813",,"14,294",,"1,291",,"5,548",,"6,839",,"3,492,569",,,,
3902701 OH EBT CLINTON CO DHS,499,,"4,852",,"5,351",,453,,"2,283",,"2,736",,"1,312,973",,,,
3902901 OH EBT COLUMBIANA CO DHS,"1,862",,"12,658",,"14,520",,"1,649",,"5,864",,"7,513",,"3,556,198",,,,
3903101 OH EBT COSHOCTON CO DHS,609,,"5,037",,"5,646",,546,,"2,375",,"2,921",,"1,391,619",,,,
3903301 OH EBT CRAWFORD CO DHS,668,,"5,786",,"6,454",,591,,"2,669",,"3,260",,"1,562,890",,,,
3903539 OH EBT CUYAHOGA CO DHS,"26,454",,"180,038",,"206,492",,"21,523",,"87,075",,"108,598",,"54,518,347",,,,
3903539 OH SSI CUYAHOGA CO DHS,"7,046",,"2,212",,"9,258",,"6,790",,"2,026",,"8,816",,"2,616,983",,,,
3903703 OH EBT DARKE CO DHS,398,,"3,738",,"4,136",,360,,"1,555",,"1,915",,"998,762",,,,
3903904 OH EBT DEFIANCE CO.,336,,"3,517",,"3,853",,299,,"1,513",,"1,812",,"922,345",,,,
3904101 OH EBT OFFICE WORLD-DELAWARE CO,678,,"5,353",,"6,031",,593,,"2,482",,"3,075",,"1,495,571",,,,
3904302 OH EBT ERIE CO DHS,897,,"8,523",,"9,420",,819,,"4,092",,"4,911",,"2,339,065",,,,
3904501 OH EBT FAIRFIELD CO DHS,"1,780",,"13,262",,"15,042",,"1,453",,"6,047",,"7,500",,"3,679,266",,,,
3904701 OH EBT FAYETTE CO DHS,546,,"3,684",,"4,230",,489,,"1,676",,"2,165",,"1,020,358",,,,
3904901 OH EBT FRANKLIN CO DPW,"19,739",,"146,408",,"166,147",,"15,839",,"59,150",,"74,989",,"40,640,658",,,,
3905101 OH EBT FULTON CO DHS,196,,"2,874",,"3,070",,185,,"1,187",,"1,372",,"722,471",,,,
3905301 OH EBT GALLIA CO DHS,"1,027",,"5,242",,"6,269",,841,,"2,333",,"3,174",,"1,550,783",,,,
3905502 OH EBT GEAUGA CO DPW,234,,"2,413",,"2,647",,220,,"1,248",,"1,468",,"654,315",,,,
3905702 OH EBT GREENE CO DHS,"1,334",,"11,665",,"12,999",,"1,165",,"5,205",,"6,370",,"3,174,080",,,,
3905901 OH EBT GUERNSEY CO DHS,835,,"5,152",,"5,987",,752,,"2,423",,"3,175",,"1,476,799",,,,
3906101 OH EBT HAMILTON CO F S ISS,"15,989",,"94,223",,"110,212",,"12,323",,"42,071",,"54,394",,"27,253,050",,,,
3906302 OH EBT HANCOCK CO DHS,585,,"5,098",,"5,683",,538,,"2,283",,"2,821",,"1,402,889",,,,
3906502 OH EBT HARDIN CO DHS,365,,"3,238",,"3,603",,325,,"1,361",,"1,686",,"858,082",,,,
3906702 OH EBT HARRISON CO DHS,316,,"1,842",,"2,158",,267,,860,,"1,127",,"525,204",,,,
3906905 OH EBT HENRY CO DHS,169,,"1,328",,"1,497",,164,,619,,783,,"361,910",,,,
3907104 OH EBT HIGHLAND CO HUMAN SERVICES,739,,"5,808",,"6,547",,650,,"2,602",,"3,252",,"1,585,495",,,,
3907301 OH EBT HOCKING CO. DHS,0,,0,,0,,0,,0,,0,,0,,,,
3907502 OH EBT HOLMES CO DHS,117,,929,,"1,046",,102,,444,,546,,"255,628",,,,
3907702 OH EBT HURON CO DHS,698,,"6,661",,"7,359",,579,,"2,925",,"3,504",,"1,780,068",,,,
3907902 OH EBT JACKSON CO DHS,912,,"5,533",,"6,445",,810,,"2,482",,"3,292",,"1,582,850",,,,
3908102 OH EBT JEFFERSON CO DHS,"1,564",,"10,964",,"12,528",,"1,345",,"5,140",,"6,485",,"3,112,962",,,,
3908301 OH EBT KNOX COUNTY DHS,596,,"4,873",,"5,469",,521,,"2,312",,"2,833",,"1,336,120",,,,
3908502 OH EBT LAKE CO DHS,"2,112",,"14,966",,"17,078",,"1,604",,"7,685",,"9,289",,"4,235,977",,,,
3908703 OH EBT LAWRENCE CO DHS,"2,030",,"10,548",,"12,578",,"1,763",,"5,277",,"7,040",,"3,190,570",,,,
3908902 OH EBT LICKING CO DHS,"2,190",,"15,683",,"17,873",,"1,897",,"7,149",,"9,046",,"4,394,882",,,,
3909102 OH EBT LOGAN CO DHS,460,,"4,446",,"4,906",,414,,"1,996",,"2,410",,"1,185,146",,,,
3909304 OH EBT LORAIN CO DHS,"4,180",,"32,776",,"36,956",,"3,599",,"14,228",,"17,827",,"9,103,678",,,,
3909503 OH EBT LUCAS CO DHS,"10,894",,"57,874",,"68,768",,"8,942",,"26,085",,"35,027",,"17,200,007",,,,
3909701 OH EBT MADISON CO DHS,401,,"3,590",,"3,991",,332,,"1,633",,"1,965",,"990,219",,,,
3909903 OH EBT MAHONING CO DHS,"6,940",,"38,635",,"45,575",,"5,431",,"18,657",,"24,088",,"11,445,883",,,,
3910101 OH EBT MARION CO DEPT OF HS,"1,402",,"9,402",,"10,804",,"1,167",,"4,137",,"5,304",,"2,665,738",,,,
3910303 OH EBT MEDINA CO DHS,907,,"8,357",,"9,264",,779,,"4,196",,"4,975",,"2,292,442",,,,
3910502 OH EBT MEIGS COUNTY DHS,714,,"4,003",,"4,717",,597,,"1,830",,"2,427",,"1,145,324",,,,
3910701 OH EBT MERCER CO DHS,206,,"1,702",,"1,908",,177,,769,,946,,"452,236",,,,
3910904 OH EBT OFFICE WORLD INC-MIAMI CO,894,,"8,199",,"9,093",,784,,"3,609",,"4,393",,"2,205,397",,,,
3911102 OH EBT MONROE CO DHS,214,,"1,551",,"1,765",,193,,689,,882,,"425,842",,,,
3911312 OH EBT MONTGOMERY CO DHS,"9,699",,"70,702",,"80,401",,"8,201",,"32,596",,"40,797",,"20,054,890",,,,
3911506 OH EBT MORGAN CO DHS,343,,"1,936",,"2,279",,292,,903,,"1,195",,"551,031",,,,
3911702 OH EBT MORROW CO DHS,381,,"2,690",,"3,071",,336,,"1,221",,"1,557",,"747,393",,,,
3911901 OH EBT MUSKINGUM CO DHS,"2,128",,"13,252",,"15,380",,"1,858",,"6,477",,"8,335",,"3,863,489",,,,
3912103 OH EBT NOBLE CO DHS,185,,"1,242",,"1,427",,167,,580,,747,,"348,103",,,,
3912301 OH EBT OTTAWA CO DHS,306,,"2,969",,"3,275",,282,,"1,518",,"1,800",,"830,519",,,,
3912503 OH EBT PAULDING CO DHS,182,,"1,814",,"1,996",,169,,768,,937,,"485,644",,,,
3912701 OH EBT PERRY CO DHS,851,,"5,501",,"6,352",,699,,"2,454",,"3,153",,"1,541,944",,,,
3912901 OH EBT PICKAWAY CO TREAS OFF,738,,"5,865",,"6,603",,643,,"2,751",,"3,394",,"1,621,814",,,,
3913102 OH EBT PIKE CO DHS,"1,095",,"5,917",,"7,012",,887,,"2,576",,"3,463",,"1,706,300",,,,
3913301 OH EBT PORTAGE COUNTY DHS,"1,436",,"13,168",,"14,604",,"1,274",,"6,541",,"7,815",,"3,671,329",,,,
3913502 OH EBT PREBLE CO DHS,360,,"3,402",,"3,762",,332,,"1,554",,"1,886",,"906,873",,,,
3913701 OH EBT PUTNAM CO DHS,124,,"1,617",,"1,741",,107,,716,,823,,"410,311",,,,
3913901 OH EBT BRINKS INC. - RICHLAND CO.,"2,339",,"17,191",,"19,530",,"1,990",,"8,050",,"10,040",,"4,807,862",,,,
3914103 OH EBT OFFICE WORLD-ROSS CO,"2,936",,"18,821",,"21,757",,"2,478",,"8,870",,"11,348",,"5,411,952",,,,
3914301 OH EBT SANDUSKY CO DHS,518,,"5,067",,"5,585",,467,,"2,323",,"2,790",,"1,384,023",,,,
3914502 OH EBT SCIOTO CO DHS,"3,062",,"15,825",,"18,887",,"2,605",,"7,876",,"10,481",,"4,757,324",,,,
3914701 OH EBT SENECA CO DHS,547,,"6,007",,"6,554",,487,,"2,651",,"3,138",,"1,590,289",,,,
3914903 OH EBT SHELBY CO DHS,374,,"3,399",,"3,773",,315,,"1,457",,"1,772",,"907,371",,,,
3915102 OH EBT STARK CO DHS,"6,506",,"43,558",,"50,064",,"5,416",,"19,950",,"25,366",,"12,256,298",,,,
3915307 OH EBT SUMMIT CO DHS,"11,080",,"67,417",,"78,497",,"9,113",,"33,365",,"42,478",,"19,856,814",,,,
3915503 OH EBT TRUMBULL CO DHS,"4,182",,"28,106",,"32,288",,"3,466",,"12,768",,"16,234",,"7,906,964",,,,
3915702 OH EBT TUSCARAWAS CO DHS,"1,113",,"8,900",,"10,013",,"1,000",,"4,321",,"5,321",,"2,437,520",,,,
3915902 OH EBT UNION CO DHS,228,,"2,369",,"2,597",,208,,"1,100",,"1,308",,"639,512",,,,
3916101 OH EBT VAN WERT CO DHS,255,,"2,167",,"2,422",,227,,907,,"1,134",,"575,717",,,,
3916301 OH EBT VINTON CO DHS,0,,0,,0,,0,,0,,0,,0,,,,
3916504 OH EBT WARREN COUNTY ISSUANCE,834,,"8,984",,"9,818",,740,,"3,818",,"4,558",,"2,362,851",,,,
3916703 OH EBT WASHINGTON CO DHS,"1,062",,"6,836",,"7,898",,962,,"3,162",,"4,124",,"1,903,274",,,,
3916901 OH EBT WAYNE CO DHS,"1,033",,"8,437",,"9,470",,928,,"4,072",,"5,000",,"2,345,725",,,,
3917102 OH EBT WILLIAMS CO DHS,284,,"3,244",,"3,528",,264,,"1,462",,"1,726",,"857,530",,,,
3917301 OH EBT WOOD CO DHS,753,,"6,088",,"6,841",,667,,"2,874",,"3,541",,"1,678,256",,,,
3917501 OH EBT WYANDOT CO DHS,158,,"1,676",,"1,834",,143,,791,,934,,"438,694",,,,
4000101 OK EBT ADAIR COUNTY,8,,"5,672",,"5,680",,3,,"2,441",,"2,444",,"1,320,692",,,,
4000301 OK EBT ALFALFA COUNTY,4,,520,,524,,1,,237,,238,,"123,246",,,,
4000501 OK EBT ATOKA COUNTY,8,,"2,217",,"2,225",,2,,"1,082",,"1,084",,"523,087",,,,
4000701 OK EBT BEAVER COUNTY,0,,382,,382,,0,,141,,141,,"80,168",,,,
4000901 OK EBT BECKHAM COUNTY,9,,"3,974",,"3,983",,4,,"1,766",,"1,770",,"917,892",,,,
4001101 OK EBT BLAINE COUNTY,10,,"1,561",,"1,571",,2,,706,,708,,"365,659",,,,
4001301 OK EBT BRYAN COUNTY,18,,"6,726",,"6,744",,4,,"3,232",,"3,236",,"1,580,528",,,,
4001501 OK EBT CADDO COUNTY,32,,"5,238",,"5,270",,11,,"2,432",,"2,443",,"1,230,528",,,,
4001701 OK EBT CANADIAN COUNTY,128,,"12,070",,"12,198",,39,,"5,253",,"5,292",,"2,844,398",,,,
4001901 OK EBT CARTER COUNTY,106,,"8,918",,"9,024",,34,,"4,246",,"4,280",,"2,110,006",,,,
4002101 OK EBT CHEROKEE COUNTY,18,,"8,022",,"8,040",,7,,"3,696",,"3,703",,"1,873,900",,,,
4002301 OK EBT CHOCTAW COUNTY,39,,"3,761",,"3,800",,12,,"1,980",,"1,992",,"916,369",,,,
4002501 OK EBT CIMARRON COUNTY,0,,222,,222,,0,,91,,91,,"47,008",,,,
4002701 OK EBT CLEVELAND COUNTY,269,,"27,225",,"27,494",,92,,"12,837",,"12,929",,"6,526,608",,,,
4002901 OK EBT COAL COUNTY,0,,954,,954,,0,,459,,459,,"225,164",,,,
4003101 OK EBT COMANCHE COUNTY,116,,"19,981",,"20,097",,34,,"9,469",,"9,503",,"4,771,646",,,,
4003301 OK EBT COTTON COUNTY,8,,970,,978,,3,,458,,461,,"228,318",,,,
4003501 OK EBT CRAIG COUNTY,4,,"2,388",,"2,392",,2,,"1,136",,"1,138",,"555,120",,,,
4003701 OK EBT CREEK COUNTY,16,,"11,568",,"11,584",,7,,"5,497",,"5,504",,"2,749,704",,,,
4003901 OK EBT CUSTER COUNTY,11,,"4,024",,"4,035",,3,,"1,753",,"1,756",,"911,843",,,,
4004101 OK EBT DELAWARE COUNTY,10,,"5,886",,"5,896",,4,,"2,597",,"2,601",,"1,369,385",,,,
4004301 OK EBT DEWEY COUNTY,2,,474,,476,,1,,205,,206,,"109,935",,,,
4004501 OK EBT ELLIS COUNTY,8,,405,,413,,2,,184,,186,,"96,981",,,,
4004701 OK EBT GARFIELD COUNTY,77,,"9,978",,"10,055",,24,,"4,309",,"4,333",,"2,216,338",,,,
4004901 OK EBT GARVIN COUNTY,39,,"4,932",,"4,971",,12,,"2,292",,"2,304",,"1,167,323",,,,
4005101 OK EBT GRADY COUNTY,24,,"6,471",,"6,495",,8,,"3,140",,"3,148",,"1,541,199",,,,
4005301 OK EBT GRANT COUNTY,14,,435,,449,,4,,204,,208,,"105,303",,,,
4005501 OK EBT GREER COUNTY,2,,"1,049",,"1,051",,1,,507,,508,,"245,275",,,,
4005701 OK EBT HARMON COUNTY,9,,639,,648,,2,,279,,281,,"143,708",,,,
4005901 OK EBT HARPER COUNTY,0,,269,,269,,0,,122,,122,,"60,870",,,,
4006101 OK EBT HASKELL COUNTY,24,,"2,722",,"2,746",,8,,"1,294",,"1,302",,"641,105",,,,
4006301 OK EBT HUGHES COUNTY,2,,"2,782",,"2,784",,1,,"1,240",,"1,241",,"648,808",,,,
4006501 OK EBT JACKSON COUNTY,18,,"3,973",,"3,991",,7,,"1,886",,"1,893",,"940,205",,,,
4006701 OK EBT JEFFERSON COUNTY,7,,"1,383",,"1,390",,2,,620,,622,,"322,500",,,,
4006901 OK EBT JOHNSTON COUNTY,10,,"2,121",,"2,131",,4,,"1,032",,"1,036",,"503,849",,,,
4007101 OK EBT KAY COUNTY,115,,"8,973",,"9,088",,35,,"3,997",,"4,032",,"2,092,629",,,,
4007301 OK EBT KINGFISHER COUNTY,4,,"1,384",,"1,388",,1,,578,,579,,"313,642",,,,
4007501 OK EBT KIOWA COUNTY,15,,"2,040",,"2,055",,7,,"1,024",,"1,031",,"485,532",,,,
4007701 OK EBT LATIMER COUNTY,19,,"2,291",,"2,310",,7,,"1,058",,"1,065",,"537,547",,,,
4007901 OK EBT LE FLORE COUNTY,72,,"10,452",,"10,524",,21,,"4,871",,"4,892",,"2,450,419",,,,
4008101 OK EBT LINCOLN COUNTY,17,,"5,229",,"5,246",,6,,"2,505",,"2,511",,"1,235,159",,,,
4008301 OK EBT LOGAN COUNTY,21,,"4,333",,"4,354",,7,,"2,098",,"2,105",,"1,027,575",,,,
4008501 OK EBT LOVE COUNTY,16,,"1,462",,"1,478",,5,,673,,678,,"341,643",,,,
4008701 OK EBT MCCLAIN COUNTY,15,,"4,837",,"4,852",,5,,"2,169",,"2,174",,"1,132,309",,,,
4008901 OK EBT MCCURTAIN COUNTY,23,,"7,595",,"7,618",,7,,"3,773",,"3,780",,"1,797,088",,,,
4009101 OK EBT MCINTOSH COUNTY,14,,"4,265",,"4,279",,4,,"2,192",,"2,196",,"1,032,130",,,,
4009301 OK EBT MAJOR COUNTY,4,,731,,735,,2,,293,,295,,"163,460",,,,
4009501 OK EBT MARSHALL COUNTY,17,,"2,475",,"2,492",,6,,"1,177",,"1,183",,"582,930",,,,
4009701 OK EBT MAYES COUNTY,35,,"6,956",,"6,991",,12,,"3,167",,"3,179",,"1,637,481",,,,
4009901 OK EBT MURRAY COUNTY,2,,"1,881",,"1,883",,1,,892,,893,,"442,534",,,,
4010101 OK EBT MUSKOGEE COUNTY,127,,"15,669",,"15,796",,45,,"7,898",,"7,943",,"3,773,505",,,,
4010301 OK EBT NOBLE COUNTY,6,,"1,285",,"1,291",,2,,627,,629,,"303,361",,,,
4010501 OK EBT NOWATA COUNTY,0,,"1,669",,"1,669",,0,,760,,760,,"387,336",,,,
4010701 OK EBT OKFUSKEE COUNTY,6,,"2,326",,"2,332",,2,,"1,107",,"1,109",,"553,035",,,,
4010902 OK EBT OKLAHOMA COUNTY,871,,"151,579",,"152,450",,260,,"72,138",,"72,398",,"35,816,620",,,,
4011101 OK EBT OKMULGEE COUNTY,27,,"8,142",,"8,169",,9,,"3,972",,"3,981",,"1,937,898",,,,
4011301 OK EBT OSAGE COUNTY,20,,"3,020",,"3,040",,7,,"1,413",,"1,420",,"712,493",,,,
4011501 OK EBT OTTAWA COUNTY,15,,"7,018",,"7,033",,5,,"3,171",,"3,176",,"1,621,623",,,,
4011701 OK EBT PAWNEE COUNTY,9,,"2,856",,"2,865",,4,,"1,243",,"1,247",,"663,482",,,,
4011901 OK EBT PAYNE COUNTY,69,,"8,902",,"8,971",,26,,"4,320",,"4,346",,"2,118,338",,,,
4012101 OK EBT PITTSBURG COUNTY,73,,"7,858",,"7,931",,23,,"3,870",,"3,893",,"1,894,054",,,,
4012301 OK EBT PONTOTOC COUNTY,28,,"6,838",,"6,866",,10,,"3,303",,"3,313",,"1,629,055",,,,
4012501 OK EBT POTTAWATOMIE COUNTY,60,,"13,751",,"13,811",,22,,"6,769",,"6,791",,"3,306,060",,,,
